    INFO: 2026-04-02 20:44:53,973:               log.py:   20: Logging to /home/user/repos/faultray/docs/proposal/mdpdf.log
   DEBUG: 2026-04-02 20:44:53,973:               cli.py:  103: service-proposal.md
    INFO: 2026-04-02 20:44:53,977:         converter.py:   14: service-proposal.md
   DEBUG: 2026-04-02 20:44:53,986:      pdf_renderer.py:  470: printSegment: FaultRay — ITインフラ障害シミュレーション診断サービス
   DEBUG: 2026-04-02 20:44:54,060:      pdf_renderer.py:  470: printSegment: 提供者:
   DEBUG: 2026-04-02 20:44:54,116:      pdf_renderer.py:  470: printSegment:  前田 勇太郎（個人事業主）
   DEBUG: 2026-04-02 20:44:54,209:      pdf_renderer.py:  470: printSegment: 連絡先:
   DEBUG: 2026-04-02 20:44:54,265:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-04-02 20:44:54,266:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2026-04-02 20:44:54,267:      pdf_renderer.py:  470: printSegment: TO BE FILLED
   DEBUG: 2026-04-02 20:44:54,267:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2026-04-02 20:44:54,268:      pdf_renderer.py:  470: printSegment: 
   DEBUG: 2026-04-02 20:44:54,268:      pdf_renderer.py:  470: printSegment: 発行日:
   DEBUG: 2026-04-02 20:44:54,269:      pdf_renderer.py:  470: printSegment:  2026年4月1日
   DEBUG: 2026-04-02 20:44:54,271:      pdf_renderer.py:  470: printSegment: ○○株式会社 御中
   DEBUG: 2026-04-02 20:44:54,272:      pdf_renderer.py:  470: printSegment: 平素よりお世話になっております。このたびは、ITインフラの障害耐性を「本番環境を一切触らずに」診断するサービス 
   DEBUG: 2026-04-02 20:44:54,272:      pdf_renderer.py:  470: printSegment: FaultRay
   DEBUG: 2026-04-02 20:44:54,273:      pdf_renderer.py:  470: printSegment:  をご紹介させていただきます。
   DEBUG: 2026-04-02 20:44:54,274:      pdf_renderer.py:  470: printSegment: サービス概要
   DEBUG: 2026-04-02 20:44:54,274:      pdf_renderer.py:  470: printSegment: FaultRay は、貴社のITインフラ構成をもとに 
